,POSITIVE,NEGATIVE
sureblack,1,0
superheroblockbuster,1,0
tchalla,6,2
beachler,1,0
boseman,14,0
womanis,1,0
killmonger,12,0
chadwick,10,0
actionsequences,2,0
enabled,1,0
endallbe,1,0
allof,1,0
pretzel,1,0
megabudgeted,1,0
lionize,1,0
plotpushing,1,0
starchedwhite,1,0
catalysed,1,0
blackafrican,1,0
vibranium,1,0
cooglerdirected,1,0
colonization,1,0
pounce,2,0
templateand,1,0
progressivism,1,0
earlyyear,1,0
hecktotheyes,1,0
statementmaking,1,0
greenscreen,1,0
fleckless,1,0
stans,2,0
purporting,1,1
populates,2,0
boasted,1,0
sociallyits,1,0
salivating,1,0
belittled,1,0
granting,1,0
predate,1,0
tooelaborate,1,0
underselling,1,0
paintbynumber,1,0
cole,3,0
eriks,1,0
danai,4,0
gurira,6,0
whitaker,1,2
sloughing,1,0
filmadd,1,0
afrofuturism,2,0
largerthanfiction,1,0
letitia,7,0
afrocentric,2,0
shying,1,0
nonfan,1,0
dateand,1,0
discussionit,1,0
percussion,1,0
wakandas,2,0
huuuge,1,0
politricks,0,1
flashbacksthe,0,1
layeredin,1,0
mound,1,0
heroadversary,1,0
indeedpresents,1,0
promoting,1,3
antinationalistic,1,0
secondtier,1,1
kale,1,0
longhidden,1,0
pseudoshakespearean,1,0
kendrick,1,0
lamar,1,0
nakia,2,0
okoye,5,0
gandhi,1,0
rompa,1,0
underexplored,1,0
pulpfiction,1,0
freeest,1,0
monorail,1,0
poppycock,1,0
tchallas,3,0
redhot,1,0
presidential,1,1
heartshaped,1,0
enabling,2,0
hueniverse,1,0
blaming,1,0
ff,1,0
milaje,2,0
momentsim,1,0
becomei,1,0
aboutthey,1,0
rejuvenate,2,0
shakespeareaninscope,1,0
sociologically,1,0
outgeeking,1,0
propriety,1,0
beatsbut,1,0
probity,1,0
postcaptain,1,0
facetoface,1,0
armored,1,0
rhino,1,1
wakandan,1,0
willtheywontthey,1,0
lumber,1,2
crashbangwallop,1,0
spectacularits,1,0
spear,3,1
forcefield,1,0
serengeti,1,0
salaam,1,0
flavoured,1,0
maniacallylaughing,1,0
klaue,1,0
rhythmicality,1,0
doeswearing,1,0
antiracist,1,0
sleeveits,1,0
mitigates,1,0
moniker,2,0
stodgy,1,2
feuding,0,2
beatingup,0,1
crashingly,1,0
geopolitical,1,0
actionscene,1,0
becausefinallyit,1,0
moviesa,1,0
perioddont,1,0
hookup,1,0
bondesque,2,0
jostling,1,0
shuri,3,0
vibraniumenhanced,1,0
freest,1,0
ragnarok,133,16
exemplified,3,0
investedthis,1,0
billowing,2,1
minted,1,0
oscarnominee,1,0
alreadyformidable,1,0
hailing,1,0
recruited,1,0
movieor,1,0
levelling,1,0
lob,1,0
baser,1,0
franchiseexpanding,1,0
ramonda,1,0
angela,10,0
bassett,20,0
warriorprotector,1,0
conventionbucking,1,0
134minute,1,0
incometax,1,0
giddiest,1,0
goofiest,1,0
ruggles,1,0
trifling,1,0
impinges,1,0
overemphasize,1,0
kookier,1,0
clumsiness,1,0
polaropposite,1,0
freeform,1,2
filmlovers,1,0
estabelecem,1,0
dinâmica,1,0
revelam,1,0
impecável,1,0
cômico,1,0
nem,1,0
ocultar,1,0
fato,3,0
principais,1,0
envelheceram,1,0
zaniest,1,0
all…,1,0
injured,1,1
zanyridden,0,1
prinze,1,4
comedya,1,0
wackiest,1,1
goat,1,0
heistcomedyblockbuster,1,0
doublecrossings,1,0
ragtimeera,1,0
…even,1,0
runyonesque,2,0
conmen,1,0
america…,1,0
discomfiture,1,0
joplin,5,0
ragtime,2,0
welldetailed,1,0
goodbad,2,0
ornament,1,0
stinger,1,0
newmanrobert,1,0
eff,1,0
whetting,2,0
hearted,2,0
crepe,1,0
limping,1,0
jollity,1,0
nave,2,1
bedford,2,0
roguishly,0,1
calmer,1,0
moneyback,1,0
salted,2,0
surtess,1,0
quasicomedic,1,0
artiness,1,0
purposeentertainment,1,0
borsalino,1,0
marvin,1,0
hamlischs,1,0
grift,1,0
heiststyle,1,0
fraud,1,3
lightfingered,1,0
approximated,1,0
styrofoam,0,1
heistcon,1,0
sot,1,0
collect,2,1
ritchies,1,0
punter,1,2
fortifying,0,1
jackman,64,2
invincibility,2,0
patrick,3,1
jackmans,32,1
tenure,1,0
uncensored,1,0
dice,2,0
canucklehead,1,0
hairy,0,1
murderhappy,0,1
pouting,0,1
stabbier,0,1
storytellingthe,1,0
abandonin,1,0
fanservicing,1,0
epitaph,3,0
caliban,2,0
presumed,2,1
selfsacrificial,1,0
averagetoforgettable,1,0
longevity,1,0
mutant,8,0
protector,2,0
dafne,4,1
diggity,1,0
fantastici,1,0
declawed,1,0
12arated,1,0
fullfat,1,0
crimsonsoaked,1,0
saccharin,1,0
comicbookinspired,1,0
xmens,3,1
snubbed,1,0
indoctrinating,0,1
retractable,2,0
franchisebest,1,0
17year,1,0
marvelinspired,1,0
blockbusterpulpy,1,0
adamantium,2,1
xfans,1,0
slicing,1,0
jackmanallegedlysays,1,0
battleground,1,0
noncombatant,1,0
logani,1,0
temporality,2,0
quixoticquest,1,0
gorehounds,0,1
scuffed,1,0
tachycardia,1,0
springloaded,1,0
hughs,1,0
workswhy,1,0
superheromovie,1,0
spandex,2,1
mutanthood,1,0
cgenhanced,1,0
wolvies,1,0
superviolent,0,1
slashed,0,1
brisket,0,1
grainy,1,3
shadowed,1,0
snarling,3,1
xavier,3,0
wolfie,1,0
smoothlyexecuted,1,0
hardr,1,0
joylessness,0,1
lycra,1,0
penetrable,1,0
rigid,3,1
antistatic,1,0
entertaning,1,0
enraged,1,0
katie,1,1
slaughtering,0,1
cornered,2,0
deadpool,8,0
adultsonly,1,0
holster,1,0
focussed,1,1
wolverinelogan,1,0
deterioration,2,0
dejection,1,0
wolvie,1,0
comicstoscreen,1,0
loganits,1,0
shrubby,1,0
beachhead,1,0
somberness,1,0
loganjust,1,0
subset,1,0
lockedin,1,0
xmenrelated,1,0
longingly,1,0
eastwoodesque,1,0
48,1,0
bub,1,0
blockbusterminded,1,0
synchs,1,0
beltramis,2,0
ronin,1,0
quasisamurai,1,0
comicbooksourced,1,0
loganwolverine,1,0
governmentcorporations,1,0
fedup,1,1
gloomiest,0,1
grisliest,0,1
psychically,1,0
descant,1,0
watchful,2,0
silenceladen,1,0
sharpens,1,0
plunky,1,0
lycanthropic,1,0
40something,1,0
likably,1,0
gamerstyle,0,1
hankie,1,0
acutelysometimes,1,0
tragicallyaware,1,0
discarding,1,0
dustball,1,0
gorefest,2,2
dramaa,1,0
mope,1,1
superherorelated,1,0
humanscale,1,0
rageful,1,0
characterin,1,0
scythe,0,1
fruitlessly,0,1
boyd,1,0
holbrook,2,0
170plus,1,0
bruisingly,1,1
2029,1,0
himwhats,1,0
skinslashing,1,0
bonesnapping,1,0
openheartedly,1,0
x2,1,0
70scinema,1,0
stabbing,1,0
muttonchopped,1,0
slayer,4,0
mutantfilled,1,0
xfranchise,1,0
hyperbolically,1,0
steelclawed,0,1
stabathon,1,0
clawsout,1,0
awakened,3,0
showering,1,0
slashingly,1,0
pottymouth,1,0
subfranchise,1,0
wracked,1,0
gristle,1,0
grouchiness,1,0
xmans,1,0
scaledback,1,0
veiled,1,0
nightcrawler,79,5
crimepsychological,1,0
transaction,1,1
gyllenhaals,29,1
recording,1,0
gilroys,11,2
247,2,1
vulturelike,1,0
symptomatic,1,0
cereal,1,2
bloodtinged,1,0
gilroy,26,2
vitriolic,1,0
seedy,6,2
lou,15,0
rind,1,0
belfort,1,0
saturates,1,0
allude,0,1
brilliantlycrafted,1,0
attacked,1,0
undereducated,1,0
internetonly,1,0
elswit,5,0
emaciated,1,0
freelance,1,16
wanta,1,0
cannibalizes,1,0
postrecession,1,0
subscription,1,0
telltale,1,0
cutin,1,0
slinky,1,0
modernnoir,1,0
stoop,3,1
networkworthy,1,0
disembowelment,2,0
newsgatherers,1,0
conducting,0,2
goriest,1,2
freelancer,0,1
careerist,1,0
cadaverous,1,0
alarmed,1,2
malpractice,1,0
smartlyscripted,1,0
gyllenhall,2,0
rupert,1,1
pupkin,1,0
infamy,1,0
scuzzy,1,0
trashiness,1,0
nightcrawling,1,0
ambulancechasing,1,0
bloodthirst,1,0
networklike,2,0
topography,1,0
gaunt,1,0
nattering,2,0
autodidact,1,0
voracious,1,0
cormanesque,1,0
hound,2,0
nsa,0,1
sayin,0,1
thinning,1,0
unmasked,1,0
scooby,2,0
doo,3,0
swallowing,1,1
bickle,6,0
withholding,1,0
razorsharply,1,0
grotesqueness,0,1
deepdive,1,0
perpetrates,0,1
epitomize,0,1
hypocrite,0,1
notsosecretly,0,1
movieness,0,1
cronenberglike,1,0
forcebuttressed,1,0
tensionenhancing,1,0
camcorder,1,0
grimley,1,0
bottomfeeding,1,2
giloy,1,0
goodtosee,1,0
rene,2,0
ratingshappy,1,0
worka,1,0
intelligencedeserves,1,0
immaterial,1,2
ratingsdriven,1,0
paddy,1,0
chayefsky,2,0
layoff,1,0
electrical,1,0
skulllike,1,0
obviousobvious,1,0
screenwriterturneddirector,1,0
tmz,1,0
macgyver,1,0
shutin,1,0
googlers,1,0
oswald,1,0
cobblepot,1,0
crawlspace,1,0
kiyosaki,1,0
blabbermouthed,1,0
johnasson,1,0
restlessly,2,0
bickles,3,3
hyperwired,1,0
excoriation,1,0
bonerattlingly,1,0
sonofabitch,1,0
newsgathering,1,0
crawling,2,1
handinglove,2,0
creeper,2,0
skeezy,1,0
coldeyed,1,0
lous,1,0
thrillerdrama,1,0
sharptoothed,1,0
endanger,1,0
kint,1,0
gekko,1,0
creeped,1,0
performancereptilian,1,0
obstruct,1,0
newsman,0,1
newton,1,0
neontinged,1,0
elswitt,1,0
characterful,1,0
headlining,1,2
semifresh,1,0
crimethriller,1,1
bod,1,0
sodium,2,0
glare,1,0
quits,0,2
capitala,0,1
digestion,1,0
snuff,1,1
shineeasily,1,0
informant,1,2
juiced,1,0
wahlberg,5,0
glamorize,0,1
decadethis,1,0
elapses,1,0
caprio,1,0
reputedly,1,0
veneration,1,0
goodtogreat,1,0
monahans,4,0
mucked,0,1
fluttery,0,1
disintegrates,3,1
minimizes,3,0
fidget,1,0
scaredycats,1,0
subpar,0,5
wiseguys,1,0
justshortoffabulous,1,0
flux,1,0
splat,0,3
phoning,1,1
overplotted,1,1
pressurecooked,1,0
unqestionably,1,0
luckycharmed,1,0
gim,1,1
profligate,1,1
violencia,2,0
crimen,1,0
orfandad,1,0
traicin,1,0
muerte,1,0
otra,1,0
jodida,1,0
algunos,1,0
intensos,1,0
vertiginosa,2,0
narración,1,0
pausas,1,0
estupendo,1,0
pesar,1,0
excede,1,0
kowloon,1,0
levemente,1,0
longa,2,1
chinês,1,0
vigoroso,1,0
demonstra,1,0
habilidade,1,0
conduzir,1,0
tramas,1,0
violentas,1,0
complexas,1,0
helplessly,1,0
basking,1,0
deliciouslyobscene,1,0
2006s,1,0
revient,1,0
sa,1,0
meilleure,1,0
depuis,1,0
selfworshipping,1,0
yearsstrong,1,0
marky,1,0
embellishing,2,0
plushly,1,0
overripeness,1,0
rowdier,1,0
berth,1,0
jestering,1,0
baldwinis,1,0
fourletter,0,1
flatulent,0,4
massacre,0,2
martys,2,0
testosteronic,1,0
memo,1,1
overacts,1,0
fullfledged,3,0
miami,0,1
snapped,0,1
relapse,0,2
paling,0,1
oscarhunting,1,0
sickens,1,0
pulsated,0,1
vainglorious,0,1
furor,0,1
monahan,4,0
extraction,1,0
meanstreets,1,0
choking,1,2
spraying,1,0
sloshing,1,0
catholicism,1,0
hiccupy,1,0
mixtape,2,0
bashyaheadin,1,0
ipod,1,0
copsandthieves,1,0
colder,1,0
mak,0,1
encumbered,1,0
cubistic,1,1
luridly,2,0
welter,1,0
dolledup,1,0
inappropriate,2,7
lowboil,1,1
situates,2,0
laumak,1,0
distended,1,0
12hour,1,0
guntoting,2,1
reshape,2,0
bostonese,1,0
copsandmobsters,1,0
hindenburg,0,1
hydrogen,0,1
joanous,1,0
walherg,1,0
fing,1,0
topoftheheap,1,0
tangy,2,0
dwindled,1,0
toplined,1,0
crimegangster,1,0
2000s,3,2
askew,1,0
stripperturnedscreenwriter,1,0
fledging,1,0
reitman,18,0
tvperfect,1,0
beverly,3,3
bun,1,0
reasonreliance,1,0
clichébut,1,0
blithe,3,0
selfassuredness,1,0
unstill,1,0
feminized,1,0
lynn,1,0
16yearold,3,0
gilmore,1,2
stripper,2,1
perfecting,1,0
castbrings,1,0
movieoftheweek,1,2
selfpossessed,2,0
fantástico,1,0
conversassem,1,0
diaadia,1,0
construindo,1,0
combinam,1,0
elegante,1,0
conteúdo,1,0
rico,1,0
cortante,1,0
preciso,1,0
comedia,1,0
aborda,1,0
temas,2,0
delicados,1,0
manera,3,0
desdramatizada,1,0
irónica,1,0
empezando,1,0
increíble,1,0
banda,1,0
sweetcentred,1,0
comingtoterm,1,0
subversivelycelebrates,1,0
nonnuclear,1,0
cera,3,0
smartmouthed,2,0
imho,1,0
anticliché,1,0
macaroni,1,0
macandcheese,1,0
afterschool,1,0
pinkberry,1,0
teensex,1,0
mid1990s,1,1
mallrats,1,0
geniune,1,0
reitmans,2,0
fourstars,1,0
fivestars,1,0
90210,1,1
thundercats,1,0
arentweclever,1,0
pseudowitty,0,1
sweetandsour,1,0
unborn,1,0
brightened,1,0
skipadeedoodah,1,0
bellywise,1,0
guilelessly,1,0
wiseacre,4,0
dutybound,1,0
mistreat,1,0
redounds,1,0
toocoolforschool,1,0
impudently,1,0
sincereplease,1,0
fauxhipster,0,1
rimshotits,0,1
snarkiest,1,0
plaintive,2,0
indierock,1,0
youthculture,1,0
effecting,1,0
ironyfree,1,0
bludgeoned,1,0
snugglebug,1,0
alltoocommon,1,0
foisted,1,1
perspectivewise,1,0
glibness,2,0
slanguage,1,0
stupider,1,4
diablos,2,0
differentforgirls,1,0
hyperverbal,1,0
superbad,1,0
whipsaw,1,0
prolife,1,0
nurtured,1,0
individualized,2,0
terminallyclever,1,0
thickening,1,0
homeskillet,0,2
trolling,1,0
teendom,0,1
juno﻿,1,0
tootooclever,1,0
clubkid,1,0
muchpraised,1,0
lifeshouldbesoneat,1,0
lifesarealbitch,1,0
nasal,1,1
onecalorie,1,0
serio,1,0
lingo,1,0
pugnacious,1,0
livejournal,1,0
blogger,2,0
hypertext,1,0
clicked,1,0
thelittlefilmthatcould,1,0
zhang,17,0
yimou,9,0
wuxia,4,0
amendment,1,0
immutable,1,0
breathcatching,3,0
yimous,8,0
agog,1,0
unification,3,0
bc,1,0
fends,1,0
dirgelike,1,0
tonemaking,1,0
doodling,1,0
wireaided,1,0
appended,1,0
roundly,1,0
potica,1,0
sobrecogedora,1,0
ame,1,0
dejar,1,0
hroe,1,0
estuviera,1,0
filmada,2,0
chagall,1,0
ninetyodd,1,0
actioners,2,0
inconsistently,1,0
complte,2,0
fascine,1,0
yeux,3,0
lesprit,1,0
uniting,1,0
zhangs,3,0
lifeintermixed,1,0
totalitarian,1,0
paydirt,1,0
overpraise,2,0
geinus,1,0
overromanticized,0,1
chockablock,1,0
colorcoordinated,2,0
nonaficionados,1,0
convention…,1,0
rashomonstyle,1,0
sniffed,1,0
widen,0,1
ravishes,1,0
eyedelighting,1,0
pulsepumping,1,0
glorifies,1,1
kineticism,2,0
gushy,1,0
intermingled,2,0
tonguetorching,1,0
soulscorching,1,0
coffeetable,0,1
carelessly,1,0
cheesily,1,0
mythohistorical,1,0
loath,1,0
tablebook,1,0
chairman,1,0
mao,1,0
comrade,1,1
bewitched,1,0
couching,1,0
anyhow,1,0
exprience,1,0
cinmatographique,1,0
remplit,1,0
autant,1,0
cur,1,0
madedespite,1,0
oneword,1,0
dissident,0,1
aestheticized,1,0
calligraphy,1,0
filmits,1,0
beautifullyphotographed,1,0
flor,1,0
flmica,1,0
poesa,1,0
cortada,1,0
delicadeza,1,0
espada,1,0
milenaria,1,0
rapidez,1,0
libera,1,0
pico,1,0
flechas,1,0
tinta,1,0
femaleempowering,1,0
wu,1,0
xia,1,0
shaun,41,5
farce—the,1,0
unfazed,1,0
undead—and,1,0
cornetto,1,0
frost,4,0
comedyhorror,1,0
reprieve,2,0
couplingup,0,1
ghoulishly,1,0
workinglife,1,0
zombiism,1,0
turnedon,1,0
relaxes,1,0
despatch,1,0
undergraduate,1,0
ransacks,1,0
romeros,7,3
whacking,1,0
pasty,1,0
spew,0,1
sap,1,3
romero,4,0
genrethough,1,0
tamper,2,1
selfdestructing,2,0
cadges,1,0
blokish,1,0
pub,1,0
nibble,1,0
onejoke,3,2
singularity,2,0
flesheating,2,1
screamed,0,2
zombiemovie,1,0
headcrackin,1,0
taint,0,1
backwash,0,1
ninetynine,1,0
dimmest,1,0
londoner,2,0
crossbreed,1,0
zombified,1,1
audel,1,0
qualit,1,0
acteurs,1,0
textes,1,0
nombreuses,1,0
rfrences,1,0
diver,1,0
prsents,1,0
incontournable,1,0
ineffective,0,2
lateinthefilm,1,0
crossbreeding,1,0
ladylove,1,0
classique,1,0
dhorreur,1,0
moderne,1,0
ultragore,1,0
farceuniquely,1,0
horrifyingshaun,1,0
cannibalistic,1,0
nighy,2,0
detested,1,0
stepdad,1,0
romeroworthy,1,0
seasonending,0,1
extendedlength,0,1
popmovie,1,0
ripoffs,0,1
dropdeadfunny,1,0
exterminate,1,0
hilariousthat,1,0
silentbutdeadly,1,0
sbd,1,0
anemia,0,1
shauns,1,0
pintglass,1,0
guiltypleasure,1,1
gagging,1,0
birdsa,1,0
wheres,2,5
britishimport,1,0
romzomcom,1,0
zombiecomelately,1,0
oftfunny,1,0
isle,1,0
werewolf,1,1
postthatcher,1,0
customarily,1,0
lowyield,1,0
gravedefying,1,0
cannibalism,1,0
ohsoclever,1,0
pillory,1,0
zom,1,0
attendant,2,1
hypethere,1,0
formam,1,0
dupla,1,0
cmica,1,0
brilhante,1,0
oferece,1,0
inmeras,1,0
piadas,1,0
exatamente,1,0
inspiradas,1,0
provocar,1,0
riso,1,0
infected,2,0
britishcumthe,1,0
symbolized,1,0
lop,1,0
pint,1,0
gutbuster,1,1
zombiedom,1,0
cultish,1,0
semidisgusting,1,0
bothering,1,2
dimwitted,2,1
gerbil,1,2
wittier,1,0
performancescrack,1,0
timinghorror,1,0
braainnnnssss,1,0
splattering,0,2
gruesomeness,0,2
rumored,1,0
braindead,1,4
bloodily,1,0
expelled,1,0
phlegm,1,0
furnishing,1,1
graf,0,1
pythonesque,1,0
headsmashing,1,0
isthere,1,0
coscripters,1,0
threeacter,1,0
stagecoach,12,0
actionoriented,1,0
directorially,1,0
ariz,1,0
dudley,2,0
unostentatious,1,0
publicised,1,0
wangers,1,0
pasteboard,1,0
twodisc,1,0
supplementary,1,0
goodguy,1,0
archtypes,1,0
carradine,1,0
superwestern,1,0
classicera,1,0
nostalgiapacked,1,0
bttf,1,0
vadar,1,0
lorraine,1,2
glovers,1,0
mcfly,2,0
klutziness,1,0
kickoffyourshoes,1,0
settlebackintheseat,1,0
ohno,1,1
turnabout,1,0
rockandroll,2,0
wop,1,0
zemeckis,13,2
romancing,0,1
disneyesque,1,0
delorean,1,0
zemeckiss,4,0
ingesting,1,0
osmosis,1,0
farout,1,2
lea,2,0
crispin,2,0
glover,3,0
sbombs,1,0
loophole,1,0
fairytalelike,1,0
materalistic,1,0
reared,1,0
inadequacy,2,0
fulcrum,1,0
coauthored,1,0
timetraveler,1,0
parentstobe,1,0
watertight,1,0
counterfreudian,1,0
carefullyscripted,1,0
bumblingtoconfident,1,0
ambling,1,0
zestfully,1,0
arrange,1,0
yoyo,1,0
technoromantic,1,0
matchmaker,1,0
jfox,1,0
frmula,1,0
sucesso,1,0
seja,2,0
ele,1,1
mexe,1,0
curiosidade,1,0
eram,1,0
nossos,1,0
pais,1,0
quando,1,1
outstandingly,1,0
mctiernans,3,4
statesman,2,0
mctiernan,2,6
christmastime—it,1,0
originates,1,0
anticheer,1,0
saturation,1,1
sometimesmore,1,0
secured,1,0
zeppelin,5,0
tricycle,1,0
whathaveyou,1,0
satiricaland,1,0
yippekiyay,1,0
mcclane,1,0
yippeekiyay,1,0
hardaction,1,0
capitalize,1,0
composes,1,0
logically,5,1
degovias,1,0
setthe,1,0
thrilleractioner,1,0
undershirt,0,1
souped,1,0
commonman,1,0
haughty,1,0
archvillain,1,0
explosionmovie,1,0
selfrenewing,1,0
megastars,1,0
ahnuld,1,0
damme,1,1
actiongenre,1,0
investor,1,0
centurywillis,1,0
expletive,2,0
deleted,1,1
lieu,2,4
discernable,1,0
wrongheaded,0,4
proposterous,1,0
goodnight,1,1
richlydrawn,1,0
reproducing,1,0
judiciously,1,0
bardem,13,0
sellout,1,0
depresses,0,1
chigurh,4,0
javier,16,0
bogeyman,1,0
postpeckinpah,1,0
selfdefeating,0,1
nymphomaniac,0,1
celibacy,0,1
bardems,6,0
thompsonesque,1,0
awakes,1,0
quorum,1,0
psychotically,1,0
cackle,1,0
grindhouser,0,1
bloodspattered,2,0
toofaithful,0,1
expound,0,1
fink,1,0
shredder,1,1
timebomb,1,0
brolins,2,0
wellsuited,1,0
afield,1,0
marsh,1,0
late80sset,1,0
appeasing,1,0
sabotage,0,1
représentetil,1,0
sommet,1,0
cinéastes,1,0
je,1,0
serais,1,0
tenté,1,0
oui,1,0
temp,1,0
seul,1,0
dira,1,0
reaperlike,1,0
chockful,1,0
brillante,1,0
ejecución,1,0
cinematográfica,1,0
hermanos,1,0
junto,1,0
excepcional,1,0
meditación,1,0
desencantada,1,0
sombría,1,0
flicking,1,0
decepticons,1,0
neguem,1,0
conclusão,1,0
amarradinha,1,0
dramaticamente,1,0
catártica,1,0
enriquece,1,0
crosshair,1,0
cattle,2,3
cloudshadow,1,0
inflects,1,0
alfredo,1,0
garcia,1,3
cronenbergs,1,1
antiwestern,1,0
converging,1,0
amb,1,0
selfexplanatory,1,0
mugged,1,0
transpired,1,1
petering,1,0
berkey,1,0
basset,2,0
yanked,1,0
momma,1,0
sunspot,1,0
bowlcutpageboy,1,0
compressor,1,0
leatherface,1,0
alternation,1,1
slated,1,0
november,3,1
chillerthriller,1,0
flee,0,2
lecters,1,0
manacle,1,0
scarysmart,1,0
incomprehensibly,1,1
lowpressure,1,0
laudatory,1,0
carla,1,0
buscemis,1,0
ironist,1,1
prairie,2,0
bardens,1,0
psychokiller,2,0
twelfth,1,0
obsequious,1,1
texmex,2,1
brothersshape,1,0
borderland,1,0
swelter,1,0
pursuer,2,0
laidout,1,0
mindgame,1,0
localized,1,0
jokery,1,0
bemoans,1,0
formalists,2,0
auteurial,1,0
fingernailchewing,1,0
pocked,1,0
willies,1,1
livestock,1,0
shaft,1,1
humorabout,1,0
geta,1,0
switchbacks,1,0
cormack,1,0
slowfiltered,0,1
faulkner,2,1
jeremiah,0,1
eyestark,1,0
armrestclutching,1,0
filmclose,1,0
horrormystery,1,0
hatinhand,0,1
prosetofilm,1,0
1996s,2,0
sunblasted,1,0
singlestranded,0,1
simba,3,0
chillinducing,1,0
laughs…,1,0
awol,0,1
32nd,1,0
scrumptiously,1,0
wildebeest,2,0
reichinspired,1,0
elton,2,2
grandopera,1,0
lowcomedy,1,2
dynastic,1,0
twoweek,1,0
goodvsevil,1,0
utilised,1,0
swanbergs,1,0
sequencebut,1,0
postproduction,0,4
heroquest,0,1
savannah,1,0
videoa,2,0
zazu,1,0
reconsider,2,0
kingofthebeasts,1,0
veldt,1,0
hasty,1,1
trabalhando,1,0
arqutipos,1,0
verdadeiramente,1,0
mitolgicos,1,0
rei,1,0
conseguiu,1,0
transformar,1,1
dcada,1,0
lanamento,2,0
bronzed,0,1
shoutouts,0,1
alonga,1,0
hourit,1,0
mismo,1,0
len,1,0
espectculo,1,0
digno,1,0
contemplarse,1,0
soberbio,1,0
montaje,1,0
teatral,1,0
hacerlo,1,0
pantalla,1,0
colosal,1,0
rafiki,1,0
cimarron,0,1
reissued,1,0
reintroducing,2,0
atmos,1,0
alfonso,23,1
cuaróns,16,1
intheater,1,0
cheapens,1,1
cuarón,16,2
cuarons,8,0
hella,4,0
mesmerizes,1,0
spectatorial,1,0
engendered,1,0
instinctual,2,0
limped,1,0
9999,1,0
haikulike,1,0
bestpicture,2,0
cuaron,15,0
implausibility,3,1
fathomless,1,0
flightbut,0,1
loworbit,0,1
shrink,1,1
impressiveness,0,1
sizzlereel,0,1
technoart,1,0
manversusnature,1,0
90000000,1,0
untethered,1,0
abseiling,1,0
glossgravity,0,1
environmentsurvival,1,0
buffeting,1,0
monitored,1,0
stevenson,1,0
91minute,2,0
knucklegobbling,1,0
stomachshrinking,1,0
audienceimmersive,1,0
voidthis,1,0
unparalleledand,1,0
respeita,1,0
ciência,1,0
colocandoa,1,0
totalmente,1,0
serviço,1,0
revelandose,1,0
processo,1,0
trabalhos,2,0
podbay,1,0
experiencesboth,1,0
emotionalthat,1,0
digitalliveaction,1,0
effectsheavy,2,0
spacesuit,2,0
relentlesslyriveting,1,0
deceptivelyclose,1,0
unrealized,1,0
tu,1,0
mamá,1,0
laserpoint,1,0
dumbfoundingly,1,0
polarity,1,0
phoned,1,1
superexpensive,1,0
borne,1,1
everywoman,1,0
5star,1,0
newtonian,1,0
geometry,1,0
technomystical,1,0
